,User_Age,Income,Child_Count,Day_Cnt,Recency,Marital_Status_Joined,Education_Graduate,Education_Postgraduate,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Spent,Purchases_Z1,Purchases_Z2,Purchases_Z3,Clusters
0,57,58138.0,0,663.0,58,0,1,0,635,88,546,172,88,88,0,0,0,0,0,0,1,1617,-1.356722558143025,1.0658047779171618,0.1259765776923999,5
1,60,46344.0,2,113.0,38,0,1,0,11,1,6,2,1,6,0,0,0,0,0,0,0,27,1.3820116279818184,-0.8265009332293719,0.5483898802231771,4
2,49,71613.0,0,312.0,26,1,1,0,426,49,127,111,21,42,0,0,0,0,0,0,0,776,-1.4554120854156805,0.0760221430893735,-1.3699820105163767,1
3,30,26646.0,1,139.0,26,1,1,0,11,4,20,10,3,5,0,0,0,0,0,0,0,53,1.2586201974372695,-0.358916086237665,0.0051200861335596,3
4,33,58293.0,1,161.0,94,1,0,1,173,43,118,46,27,15,0,0,0,0,0,0,0,422,-0.269029724428363,1.0956672213862897,0.7704772410120921,5
5,47,62513.0,1,293.0,16,1,0,1,520,42,98,0,42,14,0,0,0,0,0,0,0,716,-1.1459047979258483,0.4782360604800966,-0.6154297636735765,1
6,43,55635.0,1,593.0,34,0,1,0,235,65,164,50,49,27,0,0,0,0,0,0,0,590,-0.5723922533866793,1.304614961896084,-0.1624300662323721,5
7,29,33454.0,1,417.0,32,1,0,1,76,10,56,3,1,23,0,0,0,0,0,0,0,169,1.3234590262132289,0.3905105046139228,-0.6796483196442153,2
8,40,30351.0,1,388.0,19,1,0,1,14,0,24,3,3,2,0,0,0,0,0,0,1,46,1.997264009630931,-0.026741339213461,-0.8449910442024372,2
9,31,7500.0,1,226.0,59,1,0,0,6,16,11,11,1,16,0,0,0,0,0,0,0,61,1.7923567593837644,-0.3640840772527379,-0.5426741184163854,4
10,55,59354.0,0,226.0,53,0,0,1,233,2,53,3,5,14,0,0,0,0,0,0,0,310,0.2940883009485835,0.7202733336212029,-0.4426782456843809,2
11,62,17323.0,2,226.0,38,1,1,0,3,14,17,6,1,5,0,0,0,0,0,0,0,46,1.9455914276499164,-0.5354467146452806,-0.3268865346238063,4
12,27,82800.0,0,627.0,23,0,0,1,1006,22,115,59,68,45,0,0,1,1,0,0,1,1315,-2.58946647866542,-0.2964717847348967,-0.6247282138529666,5
13,68,41850.0,0,582.0,51,1,1,0,53,5,19,2,13,4,0,0,0,0,0,0,0,96,1.659240969559525,0.5562760595299228,-0.0891252152886386,0
14,34,37760.0,2,552.0,20,1,1,0,84,5,38,150,12,28,0,0,0,0,0,0,0,317,0.603664445054876,0.2437705245608281,-0.5124352177585297,3
15,65,33812.0,1,458.0,86,0,0,0,4,17,19,30,24,39,0,0,0,0,0,0,0,133,1.2419432065106102,-0.4144170804170598,0.1659384002314425,0
16,29,37040.0,1,603.0,41,1,1,0,86,2,73,69,38,48,0,0,0,0,0,0,0,316,0.7625820975613927,0.0171214387196257,-0.8128817662171174,3
17,35,58607.0,1,539.0,63,1,0,1,867,0,86,0,0,19,0,1,0,0,0,0,0,972,0.2100541423130142,0.5547454560778505,0.2485118168720718,2
18,65,65324.0,1,553.0,0,1,0,1,384,0,102,21,32,5,0,0,0,0,0,0,0,544,-0.956336034582276,0.4449238103078905,-0.2290030789080572,5
19,60,40689.0,1,169.0,69,1,1,0,270,3,27,39,6,99,0,0,0,0,0,0,0,444,0.5523995548745211,2.796332285860485,0.4270139061710736,2
20,63,18589.0,1,468.0,89,0,1,0,6,4,25,15,12,13,0,0,0,0,0,0,0,75,1.4275972891647424,-0.2110664223838081,0.039341781135134,0
21,45,53359.0,0,543.0,4,1,1,0,173,4,30,3,6,41,0,0,0,0,0,0,0,257,0.8155243269490116,1.0893895465704548,0.0212482395748871,5
22,38,38360.0,2,398.0,26,1,1,0,36,2,42,20,21,10,0,0,0,0,0,0,0,131,0.5124931226890274,-0.9870984971302982,0.5056609804175329,3
23,25,10979.0,1,394.0,34,0,0,1,8,4,10,2,2,4,0,0,0,0,0,0,0,30,1.0922192823761727,-0.4282746642648918,-0.0440036014598754,3
24,49,38620.0,0,219.0,56,1,0,1,112,17,44,34,22,89,0,0,0,0,0,0,0,318,-0.0817377878161265,-1.4714895513833854,0.6940641620403982,2
25,25,40548.0,0,38.0,31,1,1,0,110,0,5,2,0,3,0,1,0,0,0,0,0,120,0.8838012879972913,-0.5803971810637946,0.2524677422249158,3
26,51,46610.0,0,414.0,8,0,0,1,96,12,96,33,22,43,0,0,0,0,0,0,1,302,0.45824811928457,1.5384148653078136,0.9528343751784288,2
27,44,68657.0,1,627.0,4,1,0,1,482,34,471,119,68,22,0,0,0,0,0,0,0,1196,-0.5272831406208751,-0.2625009375387326,-0.2685135607544275,5
28,62,49389.0,2,608.0,55,0,0,1,40,0,19,2,1,3,0,0,0,0,0,0,0,65,1.6067026767296324,-0.5674347352859898,-0.4160774993200765,0
29,68,67353.0,0,494.0,37,1,0,1,702,17,151,0,8,35,0,0,0,0,0,0,0,913,-2.4284134679034213,0.6554472812270041,1.2721165466691498,5
30,63,23718.0,2,304.0,76,1,0,0,6,3,14,15,7,36,0,0,0,0,0,0,0,81,1.4569098959787343,0.2974244073172764,0.1982897179055532,2
31,44,42429.0,1,180.0,99,0,1,0,55,0,6,2,0,4,0,0,0,0,0,0,0,67,1.2095237921226312,-0.7891303758428543,0.5083226031203302,0
32,38,48948.0,1,300.0,53,0,0,1,437,8,206,160,49,42,1,0,0,0,0,0,1,902,-1.5716892476111408,0.3539632901827872,0.0936252600183099,5
33,71,20559.0,0,513.0,88,1,0,1,13,1,29,3,0,7,0,0,0,0,0,0,0,53,1.8024161986047205,0.0104146724423212,-0.2080058749562225,0
34,34,21994.0,1,426.0,4,1,1,0,9,0,6,3,1,3,0,0,0,0,0,0,0,22,1.5418638479536724,-1.3168613261375786,0.2686909064576988,3
35,29,7500.0,1,474.0,19,1,0,1,3,1,10,3,2,12,0,0,0,0,0,0,0,31,1.255513389863281,-0.2251385519623751,0.506452225792866,3
36,55,7500.0,0,236.0,24,1,0,0,3,18,14,15,22,50,0,0,0,0,0,0,1,122,1.6557302254278108,0.7414962807702973,-0.0949707973898996,4
37,39,41728.0,1,270.0,92,1,1,0,13,6,15,3,5,13,0,0,0,0,0,0,0,55,2.336152760551215,0.0052466814272483,-0.7558000795061666,0
38,38,72550.0,0,1.0,39,1,0,1,826,50,317,50,38,38,0,0,0,0,0,0,0,1319,-0.5175919079514195,3.446067975378263,1.368205657951756,5
39,18,65486.0,0,597.0,29,0,1,0,245,19,125,37,67,14,0,0,0,0,0,0,0,507,-1.2137815776593357,-1.0161297225472992,-0.2536384371534428,5
40,63,35790.0,3,179.0,54,0,1,0,12,6,20,30,1,3,0,0,0,0,0,0,0,72,1.6167621159505885,-0.1929359855909304,-0.0814092558599139,4
41,57,66373.0,1,48.0,57,1,1,0,328,9,124,12,24,109,0,0,0,0,0,0,0,606,-0.967770859679465,1.4342134336563086,1.6277744045112237,5
42,37,70287.0,1,543.0,30,0,1,0,295,35,482,121,120,40,0,0,0,0,0,0,1,1093,-1.7488566436288946,-0.695807737500138,-0.2337695290571862,5
43,37,27938.0,0,22.0,31,0,1,0,13,0,8,2,1,5,0,0,0,0,0,0,0,29,0.8448331785200692,-1.514829447425022,0.2660292837549011,3
44,36,55954.0,2,382.0,63,1,0,1,447,0,28,0,0,43,0,0,0,0,0,0,0,518,-0.1883796155746223,1.2855893870331792,-0.9201662724736344,1
45,59,75777.0,0,587.0,12,0,0,1,712,26,538,69,13,80,0,1,1,0,0,0,1,1438,-2.1753481350498878,-1.4259942077580865,0.5316826366128011,5
46,48,66653.0,0,453.0,18,1,1,0,452,18,102,16,18,6,0,0,0,0,0,0,0,612,-1.342924849060709,0.385458299344165,0.5436351199250655,5
47,26,61823.0,1,62.0,26,0,1,0,523,7,134,37,14,169,0,0,0,0,0,0,0,884,-0.8682715197904153,1.809570366274307,-0.7457671374248133,1
48,32,67680.0,1,377.0,8,0,0,1,546,0,48,0,6,6,0,0,0,0,0,0,0,606,-0.9607124895628676,0.0151386121641712,-1.0799054546193865,1
49,46,70666.0,1,118.0,29,1,1,0,398,40,367,119,122,30,0,0,0,0,0,0,0,1076,-0.6455800555660964,-0.3558247122080269,-0.6722886901166882,1
50,32,25721.0,0,360.0,75,1,1,0,1,3,6,3,6,15,0,0,0,0,0,0,1,34,1.7432603540691252,-0.7942983668579268,-0.0394716014296143,4
51,39,32474.0,2,660.0,0,1,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,11,1.932425180854972,-0.7761679300650492,-0.1602226384246622,3
52,63,69096.0,1,383.0,4,1,1,0,247,49,159,7,82,109,0,0,0,0,0,0,0,653,-0.995708080617224,-0.4380657690882532,-0.722619259138639,1
53,66,74854.0,0,205.0,90,1,1,0,856,59,487,58,29,73,0,0,0,0,0,0,0,1562,0.0049513410995013,1.2569453776265087,2.368745830403085,5
54,43,66991.0,1,404.0,1,1,0,1,496,36,460,189,60,12,0,0,0,0,0,0,0,1253,-1.4530462338416186,-0.3220464154272635,1.1738767610522032,5
55,47,65031.0,2,49.0,29,1,1,0,258,107,291,84,37,86,0,0,0,0,0,0,0,863,-1.8813691906861283,2.246276876426066,-1.1767930993234297,1
56,35,60631.0,1,102.0,88,1,0,1,565,6,65,0,6,19,0,1,0,0,0,0,0,661,-0.6664710771172361,2.280690638588874,-0.546751923551559,1
57,56,28332.0,1,275.0,58,1,1,0,14,10,13,4,15,9,0,0,0,0,0,0,0,65,0.316779600813939,-1.5649479048586092,0.2975893560536792,0
58,44,40246.0,3,447.0,68,0,1,0,2,1,6,2,1,1,0,0,0,0,0,0,0,13,1.7467710982008398,-0.979518588098301,-0.0336260193283536,0
59,41,75825.0,1,653.0,40,0,1,0,1032,105,779,137,105,51,1,0,0,0,0,0,1,2209,-1.9682686446940705,-0.958717696927096,-0.2927140035256779,5
60,55,26326.0,1,469.0,12,1,0,0,1,0,5,0,3,9,0,0,0,0,0,1,0,18,1.1705556826454089,-1.723562642204082,0.5218841446503156,3
61,39,56046.0,2,450.0,9,1,1,0,577,0,64,0,0,51,1,0,0,0,0,0,1,692,-0.4750651536062797,1.5500381217223682,-2.013891893815982,1
62,62,29760.0,0,60.0,87,0,1,0,64,4,68,7,5,17,0,0,0,0,0,0,0,165,1.3076477461354477,0.9500149298186216,0.3262267880637365,4
63,37,26304.0,1,557.0,5,1,1,0,4,1,5,2,0,4,0,0,0,0,0,0,0,16,1.932425180854972,-0.7761679300650492,-0.1602226384246622,3
64,42,23559.0,0,671.0,87,1,0,0,25,5,19,7,0,23,0,0,0,0,0,0,0,79,1.473586886905393,0.352925401496671,0.0374714038076698,0
65,38,38620.0,0,625.0,56,1,0,1,112,17,44,34,22,89,0,0,0,0,0,0,0,318,-0.0817377878161265,-1.4714895513833854,0.6940641620403982,3
66,38,81361.0,0,298.0,18,0,1,0,163,23,424,27,65,76,0,0,0,0,0,0,0,778,-3.276983113911647,-1.4237748401565626,0.9345522303873224,5
67,49,29440.0,0,543.0,95,1,1,0,17,8,14,10,4,3,0,0,0,0,0,0,0,56,1.5975089483575533,-0.3269280655969557,0.0943110508298294,0
68,29,36138.0,1,669.0,48,1,0,1,130,0,16,0,0,5,0,1,0,0,0,0,0,151,1.1320531027022724,1.1211630214804291,0.7874916506202075,2
69,45,50388.0,1,371.0,3,0,1,0,292,6,37,0,3,34,0,1,0,1,0,0,1,372,0.3173139869644846,1.3354932987360313,-0.2746738984233623,5
70,41,79593.0,1,361.0,70,1,1,0,350,60,568,110,133,145,0,0,1,0,0,0,0,1366,-1.6062120454913105,-1.0294005044858192,0.1337799583426764,5
71,51,54178.0,0,414.0,79,1,1,0,135,9,39,4,0,7,0,0,0,0,0,0,0,194,-0.0448730618310946,-1.5457077842649696,0.3782731159458918,0
72,27,42394.0,0,124.0,69,0,0,1,15,2,10,0,1,4,0,0,0,0,0,0,0,32,1.7599373449957845,-0.7387973726785322,-0.2002899155274976,3
73,54,23626.0,2,322.0,84,1,0,1,27,2,14,0,0,0,0,0,0,0,0,0,0,43,0.913113894811283,-0.07190635136271,0.4114156789953349,2
74,44,30096.0,2,348.0,30,1,1,0,5,3,11,12,5,9,0,0,0,0,0,0,0,45,1.4210485940755002,-0.7707853933192419,-0.2894808802237678,3
75,57,47916.0,1,32.0,72,0,1,0,505,0,26,0,0,75,0,1,0,0,0,0,0,606,-0.5790098050923815,1.623612717411748,0.3330564913256744,5
76,41,51813.0,0,48.0,37,0,1,0,51,2,7,0,1,2,0,0,0,0,0,0,0,63,1.6167621159505885,-0.1929359855909304,-0.0814092558599139,4
77,57,50150.0,3,587.0,32,1,0,1,135,46,92,65,61,11,0,0,0,0,0,0,0,410,-0.2825310511645735,0.0276719664805062,-0.3943458034662788,2
78,57,47823.0,2,33.0,0,0,0,0,53,1,5,2,1,10,0,0,0,0,0,0,0,72,1.8024161986047205,0.0104146724423212,-0.2080058749562225,4
79,41,34554.0,0,218.0,43,0,0,1,41,1,6,2,0,5,0,0,0,0,0,0,0,55,1.431108033296457,-0.3962866436241821,0.0451873632363946,2
80,44,65846.0,1,36.0,68,1,0,1,562,81,276,80,40,81,0,0,0,0,0,0,0,1120,-0.6481562322324729,-0.4343157980346571,-0.6573866975248283,1
81,31,87195.0,1,38.0,35,1,1,0,217,76,690,50,26,38,0,0,0,0,0,0,1,1097,-2.0862452538239946,-1.740869736041578,1.3758414842050537,5
82,54,24594.0,1,584.0,94,1,0,0,1,3,6,10,0,9,0,0,0,0,0,0,0,29,1.3886291796875208,-1.145498688745036,0.0529033226651195,0
83,42,49096.0,2,444.0,15,1,1,0,144,1,32,2,1,7,0,0,0,0,0,0,0,187,0.9687589952151636,0.918026909177912,0.2370358233674661,5
84,63,52413.0,0,210.0,56,1,1,0,295,106,271,75,98,65,0,0,0,0,0,0,0,910,-1.4707615912023102,1.3019746746432497,-0.0262278309589218,5
85,31,38557.0,0,374.0,17,0,1,0,76,3,31,4,4,27,0,0,0,0,0,0,0,145,1.2743626208985903,-0.0397037849912659,-0.1764458026574447,3
86,55,77298.0,1,91.0,46,1,1,0,425,115,292,23,35,79,0,0,0,0,0,0,0,969,-2.26374397454008,-0.5052049795139558,-0.3688733529575527,5
87,35,68126.0,1,435.0,40,0,0,1,1332,17,311,23,51,86,0,1,0,0,0,0,1,1820,0.1102025218453758,0.6982991353447493,-1.3453390627010668,1
88,69,57288.0,0,408.0,27,1,0,1,527,0,21,0,0,60,0,1,0,0,0,0,0,608,-0.5298445431612828,1.1751102805658395,-0.9944552445780448,1
89,55,86037.0,0,52.0,95,0,1,0,490,44,125,29,20,22,0,1,1,0,0,0,1,730,-2.452908801325927,-0.5233354163068334,-0.2481223159625045,5
90,35,43974.0,1,201.0,19,1,0,1,378,0,101,0,0,72,0,0,0,0,0,0,0,551,-0.2401210541720974,1.6556007380524576,0.4222474560219441,5
91,50,50785.0,2,278.0,27,0,1,0,64,1,21,0,1,27,0,0,0,0,0,0,0,114,1.2419432065106102,-0.4144170804170598,0.1659384002314425,3
92,45,90765.0,2,512.0,25,1,1,0,547,99,812,151,82,33,0,0,1,1,0,0,0,1724,-1.303715227381872,-1.8533536643797068,0.2216304719770724,5
93,36,36550.0,1,557.0,74,1,0,0,47,90,94,123,103,120,0,0,0,0,0,0,0,577,0.411465422554436,2.593410719288704,-0.8004943674307178,2
